Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,playerid
Eric Haase,Tigers,11,45,41,8,1,0,2,5,6,3,16,0,0,0,0.205,0.266,0.404,0.67,0.282,0.2,0,0.1,14111
Travis Demeritte,Tigers,23,98,87,20,4,1,4,12,11,9,31,1,1,0,0.228,0.304,0.419,0.722,0.306,-0.1,0,0.1,15958
Josh VanMeter,Reds,18,57,51,13,3,0,2,7,7,5,13,0,1,1,0.249,0.322,0.429,0.751,0.318,-0.1,0,0.1,15170
Guillermo Heredia,Pirates,96,313,276,69,14,1,6,33,27,26,58,7,3,3,0.249,0.325,0.366,0.69,0.301,-1.8,-0.3,0.1,18721
Raimel Tapia,Rockies,89,305,285,81,17,4,6,37,33,16,63,1,8,3,0.283,0.321,0.431,0.752,0.317,-0.3,0.4,0.1,14350
Dustin Pedroia,Red Sox,10,42,38,10,2,0,1,5,4,4,6,0,0,0,0.266,0.33,0.372,0.702,0.304,0.2,-0.1,0.1,8370
Matt Wieters,Cardinals,40,160,145,33,6,0,6,15,20,13,35,1,1,1,0.229,0.294,0.387,0.681,0.29,0.4,-0.4,0.1,4298
Jordy Mercer,Tigers,50,217,197,49,10,1,5,22,21,15,41,2,0,0,0.247,0.307,0.385,0.691,0.293,-1.1,-0.1,0.1,6547
John Ryan Murphy,Pirates,13,51,47,10,2,0,2,5,5,3,14,0,0,0,0.211,0.266,0.358,0.625,0.265,0.1,0,0.1,10346
Yairo Munoz,Cardinals,62,166,154,39,7,1,4,17,18,9,34,1,4,2,0.255,0.301,0.386,0.687,0.291,-0.4,0,0.1,16313
Domingo Leyba,Diamondbacks,23,58,53,14,3,0,1,7,6,4,10,0,0,0,0.255,0.307,0.406,0.713,0.302,-0.1,0,0.1,16404
Michael Lorenzen,Reds,10,42,39,9,2,0,2,5,9,3,8,0,0,0,0.244,0.306,0.422,0.728,0.309,0,0,0.1,14843
J.T. Riddle,Pirates,63,193,179,44,9,1,5,19,22,10,41,1,2,1,0.244,0.285,0.393,0.678,0.285,0.2,-0.1,0.1,17642
Thairo Estrada,Yankees,15,63,59,15,3,0,2,7,7,3,12,1,1,0,0.25,0.292,0.384,0.676,0.288,0,0,0.1,16426
Chris Herrmann,,10,38,34,7,1,0,1,4,4,4,12,0,0,0,0.204,0.293,0.342,0.635,0.277,0,0,0.1,9284
LaMonte Wade,Twins,10,42,36,9,1,0,1,5,4,5,7,1,1,0,0.246,0.341,0.366,0.707,0.31,-0.2,0,0.1,18126
Greg Bird,,19,84,72,16,4,0,4,10,11,10,22,1,0,0,0.227,0.323,0.437,0.761,0.322,0.2,0,0.1,14131
Randy Arozarena,Rays,8,35,31,8,2,0,1,4,4,3,8,1,1,1,0.249,0.321,0.402,0.723,0.31,-0.1,0,0.1,19290
Cedric Mullins II,Orioles,15,63,57,14,3,0,1,7,6,4,12,0,2,1,0.237,0.292,0.377,0.669,0.285,0.1,0.2,0.1,17929
Daulton Varsho,Diamondbacks,3,13,12,3,1,0,0,2,1,1,2,0,0,0,0.267,0.327,0.438,0.765,0.324,-0.1,0,0.1,sa3002838
Bradley Zimmer,Indians,8,35,31,7,1,0,1,4,4,3,12,0,1,0,0.225,0.301,0.385,0.686,0.294,0.3,0.1,0.1,16221
Devon Travis,,21,91,85,22,5,0,2,10,11,4,16,1,1,1,0.258,0.296,0.408,0.705,0.298,-0.8,0,0,13862
Ben Zobrist,,26,112,98,25,5,0,2,13,11,12,16,1,1,0,0.26,0.341,0.377,0.718,0.312,-0.5,-0.2,0,7435
Tim Beckham,,49,210,193,46,10,1,8,23,25,14,60,2,1,1,0.239,0.295,0.418,0.712,0.301,-1.9,-0.4,0,7949
Harold Ramirez,Marlins,66,227,211,56,11,1,5,24,24,11,44,3,2,1,0.266,0.308,0.397,0.706,0.3,-1,0,0,14387
Dwight Smith Jr.,Orioles,52,224,202,50,10,1,7,25,26,17,45,2,3,1,0.25,0.314,0.411,0.724,0.309,-1.5,-0.1,0,13473
Jared Walsh,Angels,8,35,31,7,2,0,2,4,5,3,11,0,0,0,0.233,0.301,0.433,0.734,0.309,0.1,0,0,18607
Bryan Holaday,Orioles,5,19,17,4,1,0,0,2,2,1,3,0,0,0,0.24,0.305,0.378,0.683,0.29,0.2,-0.1,0,11287
Santiago Espinal,Blue Jays,11,49,45,11,2,0,1,5,4,3,8,0,1,1,0.246,0.294,0.345,0.639,0.275,0.4,-0.1,0,sa918188
Erik Kratz,Yankees,3,13,12,3,0,0,0,1,1,1,3,0,0,0,0.231,0.287,0.381,0.668,0.285,0,0,0,4403
Edwin Rios,Dodgers,16,30,27,6,1,0,1,4,4,2,11,0,0,0,0.228,0.283,0.432,0.715,0.298,0,0,0,18316
David Freitas,Brewers,3,13,11,3,1,0,0,1,1,1,2,0,0,0,0.258,0.327,0.386,0.713,0.307,-0.1,0,0,10619
Austin Wynns,Orioles,6,26,23,6,1,0,1,3,2,2,5,0,0,0,0.241,0.297,0.35,0.647,0.28,0.1,0,0,15271
Daniel Johnson,Indians,8,35,32,8,2,0,1,4,4,2,9,0,1,0,0.253,0.308,0.419,0.727,0.307,0.1,0,0,sa918018
Alex Jackson,Braves,8,32,29,6,1,0,1,3,4,2,11,1,0,0,0.204,0.269,0.398,0.667,0.281,-0.1,0,0,17276
Daniel Descalso,Cubs,37,101,86,19,4,1,2,11,11,13,27,1,1,0,0.217,0.318,0.36,0.679,0.296,-0.4,0,0,8392
